Baumnummer;Bereich;Haus-Nr;Genauer Standort;Sicherheitserwartung;Benutzer;Campus;St-Du (cm);St-U (cm);Höhe (m);Kronen-DM (m);Pflanzjahr;nächste Kontrolle;Verkehrssicherheit;Sonstiges;Bewertung Wurzeln;Bewertung Stamm;Bewertung Krone;Art deutsch;Art botanisch;Kronenform;Vitalität;Physiologie;GUID_Baum;Baumfläche;RW;HW;Kontrolldatum;Symptome Wurzeln;Symptome Stamm;Symptome Krone;Maßnahme
3302;03;;Gebäude 351;2-normal;SVBüro-Strasser;Nord;102;320;21;9;1950;2019-03;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Mammutbaum;Sequoiadendron giganteum;1-normal;1-vital;2-Erwachsener Baum;9bfbf052-8f0b-47f5-8ed0-5e68332a4ee1;;3458196,028;5440098,4;18.05.2018;;;;
3303;03;;Gebäude 351;1-höher;SVBüro-Strasser;Nord;20;63;9;5;2000;2019-03;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Schwarz-Kiefer;Pinus nigra;1-normal;1-vital;2-Erwachsener Baum;0a72816c-a82a-424b-8806-614088a43a4d;;3458183,421;5440118,134;18.05.2018;;;;
3304;03;;Gebäude 351;1-höher;SVBüro-Strasser;Nord;12;38;4;2;2014;2020-04;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Blau-, Stech-Fichte;Picea pungens;1-normal;1-vital;1-Jungbaum;281cdf4b-6635-463b-bed2-dd2d77c63b63;;3458177,296;5440119,465;18.05.2018;;;;
3305;03;;Gebäude 351;3-geringer;SVBüro-Strasser;Nord;92;289;21;9;1950;2019-03;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Mammutbaum;Sequoiadendron giganteum;1-normal;2-geschwächt;2-Erwachsener Baum;8b5f3367-44f1-46c0-8c9f-c31934f60bd1;;3458162,799;5440122,387;18.05.2018;;;08-Wipfeldürre, 09-Blattverfärbung;
3306;03;;Gebäude 351;1-höher;SVBüro-Strasser;Nord;109;342;21;10;1950;2019-03;1-verkehrssicher;;0-keine Schäden;1-leichte Schäden;0-keine Schäden;Mammutbaum;Sequoiadendron giganteum;1-normal;1-vital;2-Erwachsener Baum;8e02eb39-57d6-40c5-a2fe-754da7479ad1;;3458161,239;5440105,589;18.05.2018;;01-Verletzung;;
3307;03;;Gebäude 351;1-höher;SVBüro-Strasser;Nord;21;66;17;8;1990;2019-03;1-verkehrssicher;ca. 9x Robinia Stangengehölz, 1x Quercus ;0-keine Schäden;2-deutliche Schäden;1-leichte Schäden;Robiniengruppe;GR Robinia;1-normal;2-geschwächt;2-Erwachsener Baum;37eb65e1-abaa-41e1-bf15-8fd3d495f3ad;;3458139,098;5440106,044;18.05.2018;;05-V-Vergabelung;05-V-Vergabelung;
3308;03;;Gebäude 351;1-höher;SVBüro-Strasser;Nord;28;88;19;9;1985;2019-03;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Rot-Eiche;Quercus rubra;2-einseitig;1-vital;2-Erwachsener Baum;db7e241d-49a0-41d7-8870-cb54f7ce7617;;3458133,098;5440107,103;18.05.2018;;;;
3309;03;;Gebäude 351;1-höher;SVBüro-Strasser;Nord;34;107;21;14;1975;2019-03;1-verkehrssicher;;0-keine Schäden;1-leichte Schäden;0-keine Schäden;Rot-Eiche;Quercus rubra;1-normal;1-vital;2-Erwachsener Baum;be76e56c-c818-41ac-adc8-7d52993bcdc7;;3458130,678;5440111,59;18.05.2018;;05-V-Vergabelung;;
3310;03;;Gebäude 351;3-geringer;SVBüro-Strasser;Nord;33;104;19;13;1965;2019-03;1-verkehrssicher;mehrstämmig, 2 Bäume ;2-deutliche Schäden;2-deutliche Schäden;1-leichte Schäden;Robinie;Robinia pseudoacacia;2-einseitig;2-geschwächt;2-Erwachsener Baum;686ce31f-b8e6-46b3-b013-3298a04b0e2b;;3458134,238;5440117,048;18.05.2018;01-Verletzung;01-Verletzung, 05-V-Vergabelung;01-Verletzung, 05-V-Vergabelung;
3311;03;;Gebäude 351;3-geringer;SVBüro-Strasser;Nord;58;182;20;14;1965;2019-03;1-verkehrssicher;;1-leichte Schäden;1-leichte Schäden;1-leichte Schäden;Robinie;Robinia pseudoacacia;1-normal;2-geschwächt;2-Erwachsener Baum;a017beef-e3e4-4d49-9a2f-ee6bc6d9f2ae;;3458130,86;5440118,561;18.05.2018;01-Verletzung;05-V-Vergabelung, 01-Verletzung;01-Verletzung;b03-Kronenpflege (4-wünschenswert)
3312;03;;Gebäude 351;3-geringer;SVBüro-Strasser;Nord;31;97;18;10;1980;2019-03;1-verkehrssicher;ca. 8x Robinia, 1x FAh, 2x Pinus, 1x Prunus;1-leichte Schäden;1-leichte Schäden;2-deutliche Schäden;Robiniengruppe;GR Robinia;1-normal;3-sehr geschwächt;2-Erwachsener Baum;d37a4090-2ba5-46bd-b5a1-7cf15e2934e4;;3458132,18212542;5440122,66147582;18.05.2018;01-Verletzung;05-V-Vergabelung, 01-Verletzung;08-Wipfeldürre, 01-Verletzung;
3313;03;;Gebäude 351;3-geringer;SVBüro-Strasser;Nord;19;60;14;7;2000;2019-03;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Robinie;Robinia pseudoacacia;1-normal;2-geschwächt;2-Erwachsener Baum;40a83a80-8ef2-48be-b362-9a67668101b3;;3458144,792;5440151,704;18.05.2018;;;;
