"Campus";"Hausnummer";"Baumnummer";"Genauer Standort";"Art deutsch";"Art botanisch";"Einzelbaum/Gruppe";"Anzahl Bäume (Gruppe)";"Datum Kontrolle";"Nächste Kontrolle";"Kontrolleur";"Verkehrssicherheit";"Funktion";"Vitalität";"Physiologie";"O Stamm";"Höhe";"Ø Krone";"Pflanzjahr";"Symptom Wurzel";"Bewertung Wurzel";"Symptom Stamm";"Bewertung Stamm";"Symptom Krone";"Bewertung Krone";"Kronenform";"Symptom Gruppe";"Bewertung Gruppe";"Bereich";"Koordinate X";"Koordinate Y";"lilalu";"Height_DEM";"tüdldü";"tudldu"
Nord;;6267;Gebäude 688;;;Baumgruppe;10;"10.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"2-normal";"1-vital";"2-Erwachsener Baum";63;11;6;1995;;"0-keine Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;"06";3458932.20278616;5440533.98911426;"00012D1600009BE5F419BA634A41E6A54D7F05C154419BE5F419BA634A41E6A54D7F05C154417C010000009BE5F419BA634A41E6A54D7F05C15441FE";110.81770881432502;;
Nord;;4086;Gebäude 420;Spitz-Ahorn;Acer platanoides;Einzelbaum;;"18.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";110;10;9;1985;;"0-keine Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;"04";3458909.662;5439728.427;"00012D1600007F6ABCD4AE634A41CFF7531B3CC054417F6ABCD4AE634A41CFF7531B3CC054417C010000007F6ABCD4AE634A41CFF7531B3CC05441FE";110.5920664825051;;
Nord;;6108;Gebäude 630;Spitz-Ahorn;Acer platanoides;Einzelbaum;;"07.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"2-normal";"1-vital";"2-Erwachsener Baum";141;17;10;1965;;"0-keine Schäden";"05-V-Vergabelung";"1-leichte Schäden";"01-Verletzung | 05-V-Vergabelung";"1-leichte Schäden";"1-normal";;;"06";3458804.48812613;5440127.1214758;"00012D160000C2EA7A3E7A634A416F42C6C79FC05441C2EA7A3E7A634A416F42C6C79FC054417C01000000C2EA7A3E7A634A416F42C6C79FC05441FE";110.35349314322083;;
Nord;;118;Ausgang Nord;Linde;Tilia x;Einzelbaum;;"22.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";60;9;6;1995;;"0-keine Schäden";"01-Verletzung";"1-leichte Schäden";"01-Verletzung";"1-leichte Schäden";"1-normal";;;"00";3458969.38412623;5441663.87247669;"00012D1600005E0C2BB1CC634A4179A8D6F71FC254415E0C2BB1CC634A4179A8D6F71FC254417C010000005E0C2BB1CC634A4179A8D6F71FC25441FE";110.08680700310309;;
Nord;;5003;Bahnhaltestelle;Schwarz-Kiefer;Pinus nigra;Einzelbaum;;"27.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";126;13;9;1985;;"0-keine Schäden";"01-Verletzung";"1-leichte Schäden";;"0-keine Schäden";"1-normal";;;"05";3458448.466;5440153.037;"00012D16000054E3A53BC8624A413F355E42A6C0544154E3A53BC8624A413F355E42A6C054417C0100000054E3A53BC8624A413F355E42A6C05441FE";110.69845150402834;;
Nord;;2280;Neureuter Straße;Gemeine Kiefer, Föhre;Pinus sylvestris;Einzelbaum;;"18.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";113;13;7;1985;;"0-keine Schäden";"01-Verletzung | 09-Schrägstand";"1-leichte Schäden";"11-Astab-/ausbruch";"1-leichte Schäden";"2-einseitig";;;"02";3458586.263;5439692.987;"00012D160000E7FBA9210D634A410C022B3F33C05441E7FBA9210D634A410C022B3F33C054417C01000000E7FBA9210D634A410C022B3F33C05441FE";110.1525252865803;;
Nord;;3075;Gebäude 305;Douglasie;Pseudotsuga menziesii;Einzelbaum;;"25.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"2-normal";"1-vital";"2-Erwachsener Baum";94;19;5;1985;;"0-keine Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;"03";3458301.666;5439918.592;"00012D160000EE7C3FD57E624A41F853E3A56BC05441EE7C3FD57E624A41F853E3A56BC054417C01000000EE7C3FD57E624A41F853E3A56BC05441FE";110.78604638357709;;
Nord;;2288;Neureuter Straße;Hainbuche;Carpinus betulus;Einzelbaum;;"16.09.2019";"2021 Q1";null;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";110;10;6;1995;;"0-keine Schäden";;"0-keine Schäden";"01-Verletzung | 10-Kappung";"2-deutliche Schäden";"1-normal";;;"02";3458523.23;5439659.11;"00012D160000D7A3709DED624A41713D0AC72AC05441D7A3709DED624A41713D0AC72AC054417C01000000D7A3709DED624A41713D0AC72AC05441FE";111.0706060411864;;
Nord;;2172;Büchenauerstr.;Schwarz-Kiefer;Pinus nigra;Einzelbaum;;"02.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"2-normal";"1-vital";"2-Erwachsener Baum";132;15;11;1985;;"0-keine Schäden";"01-Verletzung";"1-leichte Schäden";;"0-keine Schäden";"1-normal";;;"02";3458641.37012598;5439535.45147545;"00012D160000C24960AF28634A4149F9E4DC0BC05441C24960AF28634A4149F9E4DC0BC054417C01000000C24960AF28634A4149F9E4DC0BC05441FE";110.64748964378622;;
Nord;;2112;KITA;Schwarz-Kiefer;Pinus nigra;Einzelbaum;;"19.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";142;18;10;1975;;"0-keine Schäden";"01-Verletzung | 05-V-Vergabelung";"1-leichte Schäden";;"0-keine Schäden";"1-normal";;;"02";3458539.56112588;5439405.87247539;"00012D1600000CF9D2C7F5624A4105A3D677EBBF54410CF9D2C7F5624A4105A3D677EBBF54417C010000000CF9D2C7F5624A4105A3D677EBBF5441FE";110.68605705863654;;
