Campus,Hausnummer,Baumnummer,Genauer Standort,Art deutsch,Art botanisch,Einzelbaum/Gruppe,Anzahl Bäume (Gruppe),Datum Kontrolle,Nächste Kontrolle,Kontrolleur,Verkehrssicherheit,Funktion,Vitalität,Physiologie,O Stamm,Höhe,Ø Krone,Pflanzjahr,Symptom Wurzel,Bewertung Wurzel,Symptom Stamm,Bewertung Stamm,Symptom Krone,Bewertung Krone,Kronenform,Symptom Gruppe,Bewertung Gruppe,Bereich,Koordinate X,Koordinate Y,Height_DEM,tree_h_pointcloud,crown_height_pointcloud
Nord,,"4190",Blankenlocher Straße,Douglasie,Pseudotsuga menziesii,Einzelbaum,,27.09.2019,2021 Q1,Zapf,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"113","16","7","1985",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"04",3458732.366,5439852.261,110.727939770006,14.0098863169507,12.0726086956522
Nord,,"2004",Kantine,Tulpenbaum,Liriodendron,Einzelbaum,,19.09.2019,2021 Q1,Zapf,3-wiederherstellbar,1-höher,2-geschwächt,2-Erwachsener Baum,"129","19","8","1970",,0-keine Schäden,01-Verletzung,1-leichte Schäden,07-Totholz | 10-Kappung,2-deutliche Schäden,4-reduziert,,,"02",3458320.87212565,5439442.88547541,111.020925988067,16.8924073452663,16.37
Nord,,"4316",Gebäude 451,Berg-Ahorn,Acer pseudoplatanus,Einzelbaum,,27.09.2019,2020 Q2,Zapf,1-verkehrssicher,1-höher,2-geschwächt,4-Schadbaum,"119","19","11","1970",,0-keine Schäden,02-Höhlung,3-erhebliche Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"04",3458771.253,5439987.532,110.428206411316,12.287793588684,11.46
Nord,,"2267",Neureuter Straße,"Vogel-, Süss-Kirsche",Prunus avium,Einzelbaum,,18.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"97","6","8","1985",01-Verletzung,2-deutliche Schäden,,0-keine Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"02",3458646.604,5439663.719,110.409463423539,6.80303657646147,4.83
Nord,,"4392",Gebäude 441,Europ. Lärche,Larix decidua,Einzelbaum,,25.09.2019,2021 Q1,Zapf,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"104","23","6","1985",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"04",3458545.47912586,5440036.29747576,110.720991078395,14.256508921605,11.395
Ost,"70.22","153",N,"Gemeine Kiefer, Föhre",Pinus sylvestris,Einzelbaum,,04.02.2019,2020 Q3,R.Kastner,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"69","9","6","2000",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,CO,3458596.29512627,5432069.95447105,0,,
Nord,,"1147",Gebäude 152,Amerikanische Amberbaum,Liquidambar styraciflua,Einzelbaum,,17.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"38","8","5","2005",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"01",3458161.04645291,5439825.45175167,110.643999862424,3.58600013757578,3.02000000000001
Nord,,"6247",Gebäude 687,Rotbuche,Fagus sylvatica,Einzelbaum,,10.10.2019,2021 Q2,Zapf,1-verkehrssicher,3-geringer,2-geschwächt,2-Erwachsener Baum,"114","17","7","1950",01-Verletzung,1-leichte Schäden,01-Verletzung,1-leichte Schäden,01-Verletzung,1-leichte Schäden,2-einseitig,,,"06",3458840.233,5440595.975,110.419760273953,17.6666033624108,15.8927272727273
Nord,,"4181",Gebäude 424,Rot-Fichte,Picea abies,Einzelbaum,,26.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"101","16","7","1990",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"04",3458618.853,5439865.417,110.898635829784,14.2256498845012,12.3385714285714
Nord,,"3200",Bolzplatz ,Berg-Ahorn,Acer pseudoplatanus,Einzelbaum,,24.09.2019,2021 Q1,Zapf,1-verkehrssicher,2-normal,2-geschwächt,2-Erwachsener Baum,"119","18","14","1975",,0-keine Schäden,01-Verletzung,2-deutliche Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"03",3458298.4081256,5439997.78247574,110.037558291158,16.2272804185193,14.4977419354839
