"Campus";"Hausnummer";"Baumnummer";"Genauer Standort";"Art deutsch";"Art botanisch";"Einzelbaum/Gruppe";"Anzahl Bäume (Gruppe)";"Datum Kontrolle";"Nächste Kontrolle";"Kontrolleur";"Verkehrssicherheit";"Funktion";"Vitalität";"Physiologie";"O Stamm";"Höhe";"Ø Krone";"Pflanzjahr";"Symptom Wurzel";"Bewertung Wurzel";"Symptom Stamm";"Bewertung Stamm";"Symptom Krone";"Bewertung Krone";"Kronenform";"Symptom Gruppe";"Bewertung Gruppe";"Bereich";"Koordinate X";"Koordinate Y";"height_default"
Nord;;10053;Nordeingang;Rotbuche;Fagus sylvatica;Einzelbaum;;"14.10.2019";"2020 Q3";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"3-Altbaum";167;25;13;1935;;"0-keine Schäden";;"0-keine Schäden";"01-Verletzung | 11-Astab-/ausbruch";"1-leichte Schäden";"2-einseitig";;;"10";3459109.91;5442128.417;118
Nord;;4035;Eggensteinerstraße;Kugel-Robinie;Robinia pseudoacacia 'Umbraculifera';Einzelbaum;;"23.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";47;5;5;2000;;"0-keine Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;"04";3458557.125;5439775.494;118
Nord;;1107;Präsidium;Gemeine Kiefer, Föhre;Pinus sylvestris;Einzelbaum;;"23.09.2019";"2021 Q1";Zapf;"3-wiederherstellbar";"1-höher";"1-vital";"2-Erwachsener Baum";163;24;10;1960;;"0-keine Schäden";;"0-keine Schäden";"01-Verletzung | 02-Höhlung | 07-Totholz | 14-Baumfremder Bewuchs";"2-deutliche Schäden";"1-normal";;;"01";3458348.42737701;5439699.59342669;118
Nord;;4243;Gebäude 436 ;Hainbuche;Carpinus betulus;Einzelbaum;;"07.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"3-geringer";"1-vital";"2-Erwachsener Baum";113;17;12;1980;;"0-keine Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;"04";3458803.793;5439871.414;118
Nord;;10011;Nordeingang;Rotbuche;Fagus sylvatica;Einzelbaum;;"14.10.2019";"2021 Q2";Zapf;"3-wiederherstellbar";"1-höher";"3-sehr geschwächt";"2-Erwachsener Baum";119;23;11;1950;;"0-keine Schäden";"01-Verletzung | 02-Höhlung";"1-leichte Schäden";"07-Totholz | 08-Wipfeldürre";"2-deutliche Schäden";"1-normal";;;"10";3459032.02212629;5441853.28047679;118
Ost;"70.90";183;Rennpiste;;;Baumgruppe;;"05.02.2019";"2020 Q3";R.Kastner;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";91;7;11;1990;;"0-keine Schäden";;"1-leichte Schäden";;"0-keine Schäden";"1-normal";"01-Verletzung | 05-V-Vergabelung";;CO;3458516.42712619;5431814.0794709;118
Nord;;58;Turm;Rot-Fichte;Picea abies;Einzelbaum;;"09.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"2-normal";"1-vital";"2-Erwachsener Baum";157;22;10;1965;"01-Verletzung";"1-leichte Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;"00";3458628.82925186;5440416.61495194;118
Nord;;2270;Neureuter Straße;Weiss-/Sandbirke;Betula pendula;Einzelbaum;;"19.11.2019";"2021 Q1";Holzheuer;"3-wiederherstellbar";"1-höher";"2-geschwächt";"2-Erwachsener Baum";126;18;10;1985;;"0-keine Schäden";;"0-keine Schäden";"01-Verletzung | 07-Totholz";"1-leichte Schäden";"1-normal";;;"02";3458621.8372519;5439692.3159511;118
Nord;;4232;Gebäude 436 ;Serbische Fichte;Picea omorika;Einzelbaum;;"07.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"3-geringer";"1-vital";"2-Erwachsener Baum";57;15;2;2000;;"0-keine Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;"04";3458810.771;5439875.203;118
Nord;;4004;Leopoldshafener Allee;Rot-Fichte;Picea abies;Einzelbaum;;"20.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";85;14;6;1990;;"0-keine Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;"04";3458462.211;5439786.474;118
